addr1q845tyqpa9nuxr39gtlyxfj3cwj6xgj234v9et6ayvezqkzr804gyvvv05580ktz34g0jzevfsp0nt5cwy9e504htuts9c0dx7: 03RaffleTicket2004 
addr1q8nl0ceau6gygcl8kk3krcyuqfuxjhn0varsma657uw4d9t4rttl3nd6v0265fvmhtwz0p9p54su9u8c7nh80fkd4ydsrwne6a: 03RaffleTicket0870 
addr1q9znw8km80tt64h8d6raezhqu9g3hafd0h83v5rfpze6gt6r804gyvvv05580ktz34g0jzevfsp0nt5cwy9e504htutsj3rh3j: 03RaffleTicket0314 
addr1q9znw8km80tt64h8d6raezhqu9g3hafd0h83v5rfpze6gt6r804gyvvv05580ktz34g0jzevfsp0nt5cwy9e504htutsj3rh3j: 03RaffleTicket0772 
addr1q9znw8km80tt64h8d6raezhqu9g3hafd0h83v5rfpze6gt6r804gyvvv05580ktz34g0jzevfsp0nt5cwy9e504htutsj3rh3j: 03RaffleTicket0985 
addr1q9znw8km80tt64h8d6raezhqu9g3hafd0h83v5rfpze6gt6r804gyvvv05580ktz34g0jzevfsp0nt5cwy9e504htutsj3rh3j: 03RaffleTicket1273 
addr1q9znw8km80tt64h8d6raezhqu9g3hafd0h83v5rfpze6gt6r804gyvvv05580ktz34g0jzevfsp0nt5cwy9e504htutsj3rh3j: 03RaffleTicket1744 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: 03RaffleTicket0146 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: 03RaffleTicket0168 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: 03RaffleTicket0173 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: 03RaffleTicket0555 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: 03RaffleTicket0791 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: 03RaffleTicket0798 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: 03RaffleTicket1331 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: 03RaffleTicket1397 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: 03RaffleTicket1669 
addr1qxlj3ueunglr3mrdqe92jaz95m0gp9lnm65gt5l4ushxehjxwnkhxw8pr7gkzptqvf05ajyuvl9msn02wx00z6ru54qsvwtj50: 03RaffleTicket1974 
addr1qyefmgzd0v09w32cc6p9ga2k6pvhamjjyuaq74cx3kkxkr8ay40tgpwjrqxsmwa6p3lu3rvw423jezhygmkvc92ssrcq5zxh6n: 03RaffleTicket0280 
addr1qyefmgzd0v09w32cc6p9ga2k6pvhamjjyuaq74cx3kkxkr8ay40tgpwjrqxsmwa6p3lu3rvw423jezhygmkvc92ssrcq5zxh6n: 03RaffleTicket0414 
addr1qyefmgzd0v09w32cc6p9ga2k6pvhamjjyuaq74cx3kkxkr8ay40tgpwjrqxsmwa6p3lu3rvw423jezhygmkvc92ssrcq5zxh6n: 03RaffleTicket1058 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket0133 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket0377 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket0494 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket0566 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket0692 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket1435 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket1550 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket2019 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket2092 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket2322 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket0447 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket0847 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket1009 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket1158 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket1179 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket1488 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket1598 
addr1qyadsvdt2t2785s0hww42vnk4fwk6kpswgk00nxk62prqus4aw07ttggp2lg4gz4v25a0smfu0e52xxrmx7y9dgnjnhqq9kx8e: 03RaffleTicket1878 
