addr1q9946h50pzgstk33u3rru02h0tjkjlf0s3plvqp8csdkehmtwymaeyy4s27h2q7mu69npdvejp4q8ca2us5khrylnfpsgclx8n: RaffleforUkraineOGBookWho 
addr1q9yj7676pr7myf5qcptyu9l98tdgxv4qwnukyq9hsaa6gq6dd8stzru38d8dkffgfm8r56m5qkqx4h3ntwqhrletqkxs2j6p47: GoldRaffleWhale0004 
addr1qx8jqzatcj3r5evwgzmp5w0xpgzhv8mesz93s4yvcnk5lehsqpz6dfzcvef8z4jkyx8dk3d6crpp9tj80ye0lm9sk23q66mdkj: RaffleforUkraineOGBook1246 
addr1qx8jqzatcj3r5evwgzmp5w0xpgzhv8mesz93s4yvcnk5lehsqpz6dfzcvef8z4jkyx8dk3d6crpp9tj80ye0lm9sk23q66mdkj: RaffleforUkraineOGBook1538 
addr1qx8jqzatcj3r5evwgzmp5w0xpgzhv8mesz93s4yvcnk5lehsqpz6dfzcvef8z4jkyx8dk3d6crpp9tj80ye0lm9sk23q66mdkj: RaffleforUkraineOGBook1877 
addr1qx8jqzatcj3r5evwgzmp5w0xpgzhv8mesz93s4yvcnk5lehsqpz6dfzcvef8z4jkyx8dk3d6crpp9tj80ye0lm9sk23q66mdkj: RaffleforUkraineOGBook1894 
addr1qx8jqzatcj3r5evwgzmp5w0xpgzhv8mesz93s4yvcnk5lehsqpz6dfzcvef8z4jkyx8dk3d6crpp9tj80ye0lm9sk23q66mdkj: RaffleforUkraineOGBook1918 
addr1qx8jqzatcj3r5evwgzmp5w0xpgzhv8mesz93s4yvcnk5lehsqpz6dfzcvef8z4jkyx8dk3d6crpp9tj80ye0lm9sk23q66mdkj: RaffleforUkraineOGBook205 
addr1qx8jqzatcj3r5evwgzmp5w0xpgzhv8mesz93s4yvcnk5lehsqpz6dfzcvef8z4jkyx8dk3d6crpp9tj80ye0lm9sk23q66mdkj: RaffleforUkraineOGBook465 
addr1qx8jqzatcj3r5evwgzmp5w0xpgzhv8mesz93s4yvcnk5lehsqpz6dfzcvef8z4jkyx8dk3d6crpp9tj80ye0lm9sk23q66mdkj: RaffleforUkraineOGBook601 
addr1qx8jqzatcj3r5evwgzmp5w0xpgzhv8mesz93s4yvcnk5lehsqpz6dfzcvef8z4jkyx8dk3d6crpp9tj80ye0lm9sk23q66mdkj: RaffleforUkraineOGBook723 
addr1zxgx3far7qygq0k6epa0zcvcvrevmn0ypsnfsue94nsn3tvpw288a4x0xf8pxgcntelxmyclq83s0ykeehchz2wtspks905plm: RaffleforUkraineOGBook1632 
addr1q8ekpgsyewsfunpdcp4cu93r92ans68m4ne93jp24l93dzmt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73qgcd3sd: RaffleforUkraineOGBook1340 
addr1q8ekpgsyewsfunpdcp4cu93r92ans68m4ne93jp24l93dzmt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73qgcd3sd: RaffleforUkraineOGBook1364 
addr1q8ekpgsyewsfunpdcp4cu93r92ans68m4ne93jp24l93dzmt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73qgcd3sd: RaffleforUkraineOGBook1908 
addr1q8ekpgsyewsfunpdcp4cu93r92ans68m4ne93jp24l93dzmt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73qgcd3sd: RaffleforUkraineOGBook191 
addr1q8ekpgsyewsfunpdcp4cu93r92ans68m4ne93jp24l93dzmt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73qgcd3sd: RaffleforUkraineOGBook1965 
addr1q8ekpgsyewsfunpdcp4cu93r92ans68m4ne93jp24l93dzmt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73qgcd3sd: RaffleforUkraineOGBook217 
addr1q8ekpgsyewsfunpdcp4cu93r92ans68m4ne93jp24l93dzmt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73qgcd3sd: RaffleforUkraineOGBook25 
addr1q8ekpgsyewsfunpdcp4cu93r92ans68m4ne93jp24l93dzmt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73qgcd3sd: RaffleforUkraineOGBook605 
addr1q8ekpgsyewsfunpdcp4cu93r92ans68m4ne93jp24l93dzmt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73qgcd3sd: RaffleforUkraineOGBook656 
addr1q8ekpgsyewsfunpdcp4cu93r92ans68m4ne93jp24l93dzmt8aw96w3z2scztkymfsp83tunuj42wjgk0a9v6qgau73qgcd3sd: RaffleforUkraineOGBook970 
addr1q8jcruk0tykz8lj0lakyqdzhmsnnpn4sfw5wyqx7de3psa9mhhflsealzjz4ntewn5863xrltdvysxxcy87m2875s4aqj9zq0f: RaffleforUkraineOGBook1179 
addr1qypjlnpwvtdznnzet7d4nx6kjc5c3wcwahfm9t43xu9rtqhc7rjeswaw9y67saglau3zgc0snv5sr7wdpvy692jjm7kq3en9dc: RaffleforUkraineOGBook1202 
addr1qypjlnpwvtdznnzet7d4nx6kjc5c3wcwahfm9t43xu9rtqhc7rjeswaw9y67saglau3zgc0snv5sr7wdpvy692jjm7kq3en9dc: RaffleforUkraineOGBook1872 
addr1qypjlnpwvtdznnzet7d4nx6kjc5c3wcwahfm9t43xu9rtqhc7rjeswaw9y67saglau3zgc0snv5sr7wdpvy692jjm7kq3en9dc: RaffleforUkraineOGBook1887 
addr1qypjlnpwvtdznnzet7d4nx6kjc5c3wcwahfm9t43xu9rtqhc7rjeswaw9y67saglau3zgc0snv5sr7wdpvy692jjm7kq3en9dc: RaffleforUkraineOGBook1919 
addr1qypjlnpwvtdznnzet7d4nx6kjc5c3wcwahfm9t43xu9rtqhc7rjeswaw9y67saglau3zgc0snv5sr7wdpvy692jjm7kq3en9dc: RaffleforUkraineOGBook1920 
addr1qypjlnpwvtdznnzet7d4nx6kjc5c3wcwahfm9t43xu9rtqhc7rjeswaw9y67saglau3zgc0snv5sr7wdpvy692jjm7kq3en9dc: RaffleforUkraineOGBook426 
